wavelength,Intensity
1899.438,0.026
1898.048,0.024
1896.659,0.023
1895.273,0.021
1893.888,0.02
1892.506,0.018
1891.126,0.017
1889.748,0.015
1888.371,0.014
1886.997,0.013
1885.624,0.012
1884.254,0.011
1882.886,0.01
1881.519,0.01
1880.155,0.009
1878.793,0.008
1877.432,0.008
1876.074,0.007
1874.717,0.007
1873.363,0.007
1872.01,0.006
1870.659,0.006
1869.311,0.006
1867.964,0.006
1866.619,0.005
1865.276,0.005
1863.935,0.005
1862.596,0.005
1861.259,0.005
1859.924,0.005
1858.591,0.005
1857.259,0.005
1855.93,0.005
1854.602,0.005
1853.276,0.004
1851.953,0.005
1850.631,0.005
1849.311,0.005
1847.993,0.005
1846.676,0.004
1845.362,0.005
1844.049,0.005
1842.739,0.005
1841.43,0.005
1840.123,0.005
1838.818,0.005
1837.515,0.005
1836.214,0.005
1834.914,0.005
1833.617,0.005
1832.321,0.005
1831.027,0.005
1829.734,0.005
1828.444,0.005
1827.155,0.006
1825.869,0.005
1824.584,0.006
1823.301,0.006
1822.019,0.006
1820.74,0.006
1819.462,0.006
1818.186,0.006
1816.912,0.006
1815.64,0.006
1814.369,0.006
1813.101,0.006
1811.833,0.006
1810.568,0.006
1809.305,0.006
1808.043,0.006
1806.783,0.006
1805.525,0.006
1804.268,0.006
1803.014,0.006
1801.761,0.006
1800.51,0.006
1799.26,0.006
1798.012,0.007
1796.766,0.007
1795.522,0.007
1794.279,0.007
1793.039,0.007
1791.799,0.007
1790.562,0.007
1789.326,0.007
1788.092,0.007
1786.86,0.007
1785.629,0.007
1784.4,0.007
1783.173,0.007
1781.948,0.007
1780.724,0.007
1779.502,0.007
1778.281,0.007
1777.062,0.007
1775.845,0.007
1774.63,0.007
1773.416,0.007
1772.203,0.007
1770.993,0.007
1769.784,0.008
1768.577,0.008
1767.371,0.008
1766.167,0.008
1764.965,0.008
1763.765,0.008
1762.566,0.008
1761.368,0.008
1760.172,0.009
1758.978,0.009
1757.786,0.009
1756.595,0.009
1755.405,0.009
1754.218,0.009
1753.032,0.01
1751.847,0.01
1750.664,0.01
1749.483,0.01
1748.303,0.01
1747.125,0.01
1745.949,0.01
1744.774,0.011
1743.6,0.011
1742.429,0.011
1741.258,0.011
1740.09,0.011
1738.923,0.011
1737.757,0.011
1736.593,0.011
1735.431,0.011
1734.27,0.011
1733.111,0.011
1731.953,0.011
1730.797,0.011
1729.642,0.011
1728.489,0.01
1727.338,0.01
1726.188,0.01
1725.039,0.01
1723.892,0.01
1722.747,0.01
1721.603,0.01
1720.461,0.01
1719.319,0.01
1718.18,0.01
1717.042,0.01
1715.906,0.009
1714.771,0.009
1713.638,0.009
1712.506,0.009
1711.375,0.009
1710.247,0.009
1709.119,0.009
1707.993,0.009
1706.869,0.009
1705.746,0.009
1704.624,0.009
1703.504,0.009
1702.386,0.009
1701.269,0.009
1700.153,0.009
1699.039,0.009
1697.927,0.009
1696.815,0.009
1695.706,0.009
1694.597,0.009
1693.49,0.009
1692.385,0.009
1691.281,0.009
1690.178,0.008
1689.077,0.008
1687.978,0.008
1686.88,0.008
1685.783,0.007
1684.687,0.007
1683.593,0.007
1682.501,0.007
1681.41,0.007
1680.32,0.007
1679.232,0.006
1678.145,0.006
1677.059,0.006
1675.975,0.006
1674.893,0.006
1673.811,0.005
1672.731,0.005
1671.653,0.005
1670.576,0.005
1669.5,0.005
1668.426,0.005
1667.353,0.005
1666.281,0.004
1665.211,0.004
1664.142,0.004
1663.075,0.004
1662.009,0.004
1660.944,0.004
1659.881,0.004
1658.819,0.004
1657.758,0.004
1656.699,0.004
1655.641,0.004
1654.585,0.004
1653.529,0.004
1652.475,0.004
1651.423,0.004
1650.372,0.004
1649.322,0.004
1648.273,0.004
1647.226,0.004
1646.18,0.004
1645.136,0.004
1644.092,0.004
1643.051,0.004
1642.01,0.004
1640.971,0.004
1639.933,0.004
1638.896,0.004
1637.861,0.004
1636.827,0.004
1635.794,0.004
1634.763,0.004
1633.733,0.004
1632.704,0.004
1631.676,0.004
1630.65,0.004
1629.625,0.004
1628.602,0.004
1627.579,0.004
1626.558,0.005
1625.538,0.005
1624.52,0.005
1623.503,0.005
1622.487,0.005
1621.472,0.005
1620.459,0.005
1619.447,0.005
1618.436,0.005
1617.426,0.005
1616.418,0.005
1615.41,0.005
1614.405,0.005
1613.4,0.005
1612.397,0.005
1611.394,0.005
1610.394,0.005
1609.394,0.005
1608.396,0.005
1607.399,0.005
1606.403,0.005
1605.408,0.005
1604.415,0.005
1603.422,0.005
1602.431,0.005
1601.442,0.005
1600.453,0.005
1599.466,0.005
1598.48,0.006
1597.495,0.006
1596.511,0.006
1595.528,0.006
1594.547,0.006
1593.567,0.006
1592.588,0.006
1591.611,0.006
1590.634,0.006
1589.659,0.006
1588.685,0.006
